productTypeActive,productTypeDisplayOrder,,productType,productTypeLengthStick,sizeActive,size,sizePopularityScore,bundleActive,sticksPerBundle,bundlesPerTruckload,sticksPerTruckload,Eagle-%_LOAD_Per_Lift
Y,435,y,"3"" PVC PIPE  SCH 80 - BELL END",20',Y,"3"" PVC PIPE  SCH 80 - BELL END, 75 - 16",15,Y,75,16,1200,6.3
Y,440,y,"4"" PVC PIPE  SCH 80 - BELL END",20',Y,"4"" PVC PIPE  SCH 80 - BELL END, 57 - 12",16,Y,57,12,684,8.3
Y,445,y,"6"" PVC PIPE  SCH 80 - BELL END",20',Y,"6"" PVC PIPE  SCH 80 - BELL END, 26 - 12",17,Y,26,12,312,8.3
Y,450,y,"8"" PVC PIPE  SCH 80 - BELL END",20',Y,"8"" PVC PIPE  SCH 80 - BELL END, 15 - 12",5,Y,15,12,180,8.3
Y,455,y,"10"" PVC PIPE  SCH 80 - BELL END",20',Y,"10"" PVC PIPE  SCH 80 - BELL END, 12 - 12",8,Y,12,12,144,8.3
Y,460,y,"12"" PVC PIPE  SCH 80 - BELL END",20',Y,"12"" PVC PIPE  SCH 80 - BELL END, 6 - 6",9,Y,6,6,84,7.1
Y,465,y,"12"" PVC PIPE  SCH 80 - BELL END",20',Y,"12"" PVC PIPE  SCH 80 - BELL END, 8 - 6",9,Y,8,6,84,9.5
Y,,,,,Y," - ,  - ",,Y,,,,
Y,500,,"1/2"" SDR13.5 BE - BELL END",20',Y,"1/2"" SDR13.5 BE - BELL END, 360 - 36",10,Y,360,36,12960,2.8
Y,505,,"3/4"" SDR21 BE - BELL END",20',Y,"3/4"" SDR21 BE - BELL END, 400 - 24",6,Y,400,24,9600,4.2
Y,510,,"1"" SDR21 BE - BELL END",20',Y,"1"" SDR21 BE - BELL END, 280 - 20",9,Y,280,20,5600,5
Y,515,,"1 1/4"" SDR21 BE - BELL END",20',Y,"1 1/4"" SDR21 BE - BELL END, 220 - 24",10,Y,220,24,5280,4.2
Y,520,,"1 1/2"" SDR21 BE - BELL END",20',Y,"1 1/2"" SDR21 BE - BELL END, 180 - 24",11,Y,180,24,4320,4.2
Y,525,,"2"" SDR21 BE - BELL END",20',Y,"2"" SDR21 BE - BELL END, 105 - 24",7,Y,105,24,2520,4.2
Y,530,,"2 1/2"" SDR21 BE - BELL END",20',Y,"2 1/2"" SDR21 BE - BELL END, 73 - 24",10,Y,73,24,1752,4.2
Y,535,,"3"" SDR21 BE - BELL END",20',Y,"3"" SDR21 BE - BELL END, 75 - 16",11,Y,75,16,1200,6.3
Y,540,,"4"" SDR21 BE - BELL END",20',Y,"4"" SDR21 BE - BELL END, 57 - 12",12,Y,57,12,684,8.3
Y,545,,"6"" SDR21 BE - BELL END",20',Y,"6"" SDR21 BE - BELL END, 26 - 12",8,Y,26,12,312,8.3
Y,550,,"8"" SDR21 BE - BELL END",20',Y,"8"" SDR21 BE - BELL END, 15 - 12",11,Y,15,12,180,8.3
